gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"62","47010",โรงเรียนแม่แก้ดน้อย,MAE KAET NOI SCHOOL,ถนนสหกรณ์,SAHAKON RD.,"1",Schools_landmark,./0.png
"90","47010",โรงเรียนบ้านนางเหลียว,BAN NANG LIAO SCHOOL,,,"1",Schools_landmark,./0.png
"139","47010",โรงเรียนบ้านแม่คือ,BAN MAE KHUE SCHOOL,,,"1",Schools_landmark,./0.png
"1","47110",มหาวิทยาลัยแม่โจ้,MAEJO UNIVERSITY,ถนนบางเขน,BANG KHEN RD.,"1",university_landm,./0.png
"2","47110",มหาวิทยาลัยแม่โจ้,MAEJO UNIVERSITY,ถนนบางเขน,BANG KHEN RD.,"1",university_landm,./0.png
"3","47110",มหาวิทยาลัยเชียงใหม่,CHIANG MAI UNIVERSITY,ถนนนครพิงค์ 1,NAKORNPING 1 RD.,"1",university_landm,./0.png
"4","47030",มหาวิทยาลัยพายัพ,PAYAP UNIVERSITY,,,"1",university_landm,./0.png
"5","47110",มหาวิทยาลัยมหาจุฬาลงกรณ์ราชวิทยาลัยวิทยาเขตเชียงใหม่,MAHACHULALONGKORNRAJAVIDYALAYA UNIVERSITY CHIANG MAI CAMPUS,ถนนสุเทพ,SUTHEP RD.,"1",university_landm,./0.png
"6","47110",มหาวิทยาลัยมหามกุฏราชวิทยาลัยวิทยาเขตล้านนา,"MAHAMAKUT BUDDHIST UNIVERSITY ; LANNA CAMPUS",ถนนพระปกเกล้า,PRAPOKKLAO RD.,"1",university_landm,./0.png
"7","47110",มหาวิทยาลัยเที่ยงคืน,MIDNIGHT UNIVERSITY,,,"1",university_landm,./0.png
"8","47030",วิทยาลัยพยาบาลบรมราชชนนีเชียงใหม่,"BOROMARAJONANI NURSING COLLEGE,CHIANG MAI",ทางหลวงแผ่นดินหมายเลข 121,HIGHWAY 121,"1",Wittayalai_landm,./0.png
"9","47030",วิทยาลัยสารพัดช่างเชียงใหม่,CHIANG MAI POLYTECHNIC COLLEGE,ถนนห้วยแก้ว,HUAY KAEW RD.,"1",Wittayalai_landm,./0.png
"10","47030",วิทยาลัยพลศึกษาเชียงใหม่,CHIANG MAI PHYSICAL EDUCATION COLLEGE,ถนนสนามกีฬา,SANAMKILA RD.,"1",Wittayalai_landm,./0.png
"11","47030",วิทยาลัยเทคนิคเชียงใหม่,CHIANGMAI TECHNICAL COLLEGE,ถนนเวียงแก้ว,WIANG KAEW RD.,"1",Wittayalai_landm,./0.png
"12","47030",วิทยาลัยอาชีวศึกษาเชียงใหม่,CHIANGMAI VOCATIONAL COLLEGE,ถนนพระปกเกล้า,PRAPOKKLAO RD.,"1",Wittayalai_landm,./0.png
"13","47030",วิทยาลัยชุมชนล้านนา,LANNA COMMUNITY COLLEGE,ถนนสุริยะวงษ์,SURIYAWONGSE RD.,"1",Wittayalai_landm,./0.png
"14","47030",วิทยาลัยนาฏศิลป์เชียงใหม่,CHIANG MAI COLLEGE OF DRAMATIC ARTS,ถนนสุริยะวงษ์,SURIYAWONGSE RD.,"1",Wittayalai_landm,./0.png
"15","47030",วิทยาลัยพยาบาลบรมราชชนนีเชียงใหม่,"BOROMARAJONANI NURSING COLLEGE,CHIANG MAI",ถนนศรีจันทร์ดร,SRICHAN DON RD.,"1",Wittayalai_landm,./0.png
